created_at,entry_id,field1,field2
2024-10-31 04:51:51 UTC,1,27.00000,14.42
2024-10-31 04:52:26 UTC,2,27.00000,14.42
2024-10-31 04:52:59 UTC,3,26.00000,14.42
2024-10-31 04:53:37 UTC,4,27.00000,14.42
2024-10-31 04:54:14 UTC,5,28.00000,14.42
2024-10-31 04:54:49 UTC,6,28.00000,14.42
2024-10-31 04:55:23 UTC,7,28.00000,14.42
2024-10-31 04:55:57 UTC,8,28.00000,14.42
2024-10-31 04:56:31 UTC,9,28.00000,14.42
2024-10-31 04:57:04 UTC,10,28.00000,14.42
2024-10-31 04:57:37 UTC,11,28.00000,14.42
2024-10-31 04:58:14 UTC,12,27.00000,14.42
2024-10-31 04:58:51 UTC,13,27.00000,14.42
2024-10-31 04:59:32 UTC,14,27.00000,14.42
2024-10-31 05:00:05 UTC,15,27.00000,14.42
2024-10-31 05:00:40 UTC,16,27.00000,14.42
2024-10-31 05:01:15 UTC,17,27.00000,14.42
2024-10-31 05:01:51 UTC,18,27.00000,14.42
2024-10-31 05:02:26 UTC,19,27.00000,14.42
2024-10-31 05:03:03 UTC,20,27.00000,14.42
2024-10-31 05:03:45 UTC,21,27.00000,14.42
2024-10-31 05:04:18 UTC,22,27.00000,14.42
2024-10-31 05:04:59 UTC,23,27.00000,14.42
2024-10-31 05:05:33 UTC,24,27.00000,14.42
2024-10-31 05:06:23 UTC,25,27.00000,14.42
2024-10-31 05:07:05 UTC,26,27.00000,14.42
2024-10-31 05:07:46 UTC,27,27.00000,14.42
2024-10-31 05:08:19 UTC,28,27.00000,14.42
2024-10-31 05:08:52 UTC,29,27.00000,14.42
2024-10-31 05:09:37 UTC,30,27.00000,14.42
2024-10-31 05:10:19 UTC,31,27.00000,15.8
2024-10-31 05:10:52 UTC,32,29.00000,15.8
2024-10-31 05:11:25 UTC,33,31.00000,15.8
2024-10-31 05:11:58 UTC,34,30.00000,15.8
2024-10-31 05:12:32 UTC,35,30.00000,15.8
2024-10-31 05:13:15 UTC,36,29.00000,15.8
2024-10-31 05:13:57 UTC,37,28.00000,15.8
2024-10-31 05:14:39 UTC,38,28.00000,15.8
2024-10-31 05:15:14 UTC,39,28.00000,15.8
2024-10-31 05:15:47 UTC,40,27.00000,15.8
